replan_id,step,trigger,reason,position,old_path_length,new_path_length,old_path_cost,new_path_cost,compute_time_ms,expansions,success,conflict_count,parent_event_id
7dbeee615aa8,0,initial,initial_plan,"[5, 5]",0,30,0.0,30.0,0.7811670657247305,237,True,0,
72f9a31122ba,5,forced,forced_at_step_5,"[9, 5]",30,26,30.0,26.0,0.4779159789904952,146,True,7,
d551490d7c0e,15,forced,forced_at_step_15,"[15, 9]",26,16,26.0,16.0,0.19150006119161844,58,True,7,
ccb939fd8745,20,event,"obstacle_at_(18,11)_in_0_steps","[18, 11]",16,0,16.0,0.0,0.0020420411601662636,0,False,12,
103ffdf0ae54,21,event,"obstacle_at_(18,12)_in_0_steps","[18, 11]",16,0,16.0,0.0,0.001500011421740055,0,False,11,
50b83e9aaf37,22,event,"obstacle_at_(19,12)_in_0_steps","[18, 11]",16,0,16.0,0.0,0.0013329554349184036,0,False,10,
1ece0b42b8c1,23,event,"obstacle_at_(20,12)_in_0_steps","[18, 11]",16,0,16.0,0.0,0.0013330718502402306,0,False,9,
249e74844644,24,event,"obstacle_at_(20,13)_in_0_steps","[18, 11]",16,0,16.0,0.0,0.001250067725777626,0,False,8,
a14a0ba17c0c,25,event,"obstacle_at_(21,13)_in_0_steps","[18, 11]",16,0,16.0,0.0,0.0012080417945981026,0,False,6,
1430d898b571,26,event,"obstacle_at_(21,14)_in_0_steps","[18, 11]",16,0,16.0,0.0,0.001125037670135498,0,False,5,
0f438d06f734,27,event,"obstacle_at_(21,15)_in_0_steps","[18, 11]",16,0,16.0,0.0,0.0011670636013150215,0,False,4,
0f485902569d,28,event,"obstacle_at_(21,16)_in_0_steps","[18, 11]",16,0,16.0,0.0,0.001166015863418579,0,False,3,
351975177a62,29,event,"obstacle_at_(21,17)_in_0_steps","[18, 11]",16,0,16.0,0.0,0.0011670636013150215,0,False,2,
13904c305edd,0,initial,initial_plan,"[18, 11]",0,0,0.0,0.0,0.001208973117172718,0,False,0,
300136871361,0,initial,initial_plan,"[18, 11]",0,0,0.0,0.0,0.0014170072972774506,0,False,0,
ed6bb31e0d58,0,initial,initial_plan,"[18, 11]",0,0,0.0,0.0,0.0011669471859931946,0,False,0,
7057bd886025,0,initial,initial_plan,"[18, 11]",0,47,0.0,47.0,0.6766249425709248,210,True,0,
545c374f4841,42,cadence,interval_10,"[12, 14]",47,36,47.0,36.0,0.39858301170170307,122,True,0,
7379e57ebcf9,52,cadence,interval_10,"[11, 23]",36,26,36.0,26.0,0.3321670228615403,103,True,0,
6048b5a21a6d,62,cadence,interval_10,"[14, 30]",26,16,26.0,16.0,0.16862491611391306,50,True,0,
698d55a4a900,72,cadence,interval_10,"[18, 36]",16,6,16.0,6.0,0.028582988306879997,5,True,0,
1ed4ede4dbd7,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0027079368010163307,0,False,0,
62f8017773e4,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0024170149117708206,0,False,0,
14d61cee2a9e,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0019159633666276932,0,False,0,
83a12aec9fa3,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001875101588666439,0,False,0,
ef80f2a1942c,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001583946868777275,0,False,0,
ea61cd33a7d0,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001459033228456974,0,False,0,
6af25daab8c1,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014170072972774506,0,False,0,
d03ba3a0ddb0,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001375097781419754,0,False,0,
e4ddbde7e80a,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014159595593810081,0,False,0,
9add02acea30,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001334003172814846,0,False,0,
1f7374bc447d,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
250f48d548c6,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014579854905605316,0,False,0,
d1b428c77e21,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014581019058823586,0,False,0,
d76b5c7f0279,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001334003172814846,0,False,0,
e2b4f099509b,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014159595593810081,0,False,0,
9e43ed4beae7,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
11467b20d79a,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001334003172814846,0,False,0,
a3c8b9ea3dd1,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014168908819556236,0,False,0,
ab75fa97d96b,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014159595593810081,0,False,0,
a48ed9a9940a,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001334003172814846,0,False,0,
482d1330cab0,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014170072972774506,0,False,0,
f2d3acbf54bb,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0012919772416353226,0,False,0,
fa1bd20f5828,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001416075974702835,0,False,0,
065747d06637,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014170072972774506,0,False,0,
918debbd7284,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0013330718502402306,0,False,0,
e731139f407a,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014159595593810081,0,False,0,
f2e397cbf217,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
0091ad56750d,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
6894b55f3113,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014159595593810081,0,False,0,
126da4e08d60,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014159595593810081,0,False,0,
b7f6c4d7b326,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014159595593810081,0,False,0,
a53ad70e0009,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0013329554349184036,0,False,0,
cb2cc26bc3b4,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0014170072972774506,0,False,0,
4ff36be675c0,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
eb9b817a1881,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001334003172814846,0,False,0,
c366c029b846,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.001374981366097927,0,False,0,
8b6bade92fec,0,initial,initial_plan,"[18, 41]",0,0,0.0,0.0,0.0013329554349184036,0,False,0,
