metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,1.0
avg_dynamic_block_entropy,0.8619751628431085
avg_dynamic_block_hits,650.0
avg_dynamic_blocks,650.0
avg_episode_steps,1931.0
avg_fire_blocks,97.7
avg_guardrail_activation_rate,0.07771915197801545
avg_interaction_congestion_risk_corr,0.02378520359326712
avg_interaction_fire_nfz_overlap_ratio,0.10003675418312459
avg_interaction_fire_road_closure_rate,0.9993333333333334
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,284.0
avg_path_optimality,2.8655
avg_path_smoothness,0.6524
avg_planning_time_ms,357.7633
avg_relaxation_magnitude,1.638779839247043
avg_replan_budget_violations,102.66666666666667
avg_replans,1533.0
avg_risk_exposure_integral,292.5564258708452
avg_risk_exposure_sum,0.0333
avg_steps_per_meter,0.35
avg_success,0.3333
avg_time_to_recover_after_break,1.0
avg_traffic_blocks,538.7
plan_budget_violation_rate,1.0
success_rate,0.3333333333333333
timeout_rate,0.6666666666666666
