metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,1.0
avg_dynamic_block_entropy,0.8419980395748788
avg_dynamic_block_hits,490.0
avg_dynamic_blocks,490.0
avg_episode_steps,2000.0
avg_fire_blocks,47.0
avg_guardrail_activation_rate,0.058
avg_interaction_congestion_risk_corr,0.025368196496646747
avg_interaction_fire_nfz_overlap_ratio,0.14928624135168453
avg_interaction_fire_road_closure_rate,1.0
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,2.5078
avg_path_smoothness,0.6845
avg_planning_time_ms,442.79
avg_relaxation_magnitude,1.153103448275862
avg_replan_budget_violations,453.0
avg_replans,1464.0
avg_risk_exposure_integral,239.5250923317118
avg_risk_exposure_sum,0.0149
avg_steps_per_meter,0.3987
avg_success,0.0
avg_time_to_recover_after_break,1.0
plan_budget_violation_rate,1.0
success_rate,0.0
timeout_rate,1.0
