metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,1.0
avg_dynamic_block_entropy,0.8748403672088371
avg_dynamic_block_hits,79.0
avg_dynamic_blocks,79.0
avg_episode_steps,2000.0
avg_guardrail_activation_rate,0.0995
avg_interaction_congestion_risk_corr,0.027916471024934168
avg_interaction_fire_nfz_overlap_ratio,0.056435051478361864
avg_interaction_fire_road_closure_rate,1.0
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,12.3077
avg_path_smoothness,0.3968
avg_planning_time_ms,1870.2
avg_relaxation_magnitude,3.8286934673366826
avg_replan_budget_violations,23.0
avg_replan_latency_after_break,5.0
avg_replans,1604.0
avg_risk_exposure_integral,159.97015697101563
avg_risk_exposure_sum,0.7024
avg_steps_per_meter,0.0813
avg_success,0.0
avg_time_to_recover_after_break,7.0
plan_budget_violation_rate,1.0
success_rate,0.0
timeout_rate,1.0
