metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,0.9906832298136646
avg_dynamic_block_entropy,0.8597224396492164
avg_dynamic_block_hits,410.0
avg_dynamic_blocks,410.0
avg_episode_steps,2000.0
avg_fire_blocks,246.0
avg_guardrail_activation_rate,0.161
avg_interaction_congestion_risk_corr,0.026221925209329575
avg_interaction_fire_nfz_overlap_ratio,0.09551629510015812
avg_interaction_fire_road_closure_rate,0.9935
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,9.4118
avg_path_smoothness,0.1566
avg_planning_time_ms,28.17
avg_relaxation_magnitude,2.5787888198757765
avg_replan_budget_violations,30.0
avg_replan_latency_after_break,11.636363636363637
avg_replans,1877.0
avg_risk_exposure_integral,451.7249452655996
avg_risk_exposure_sum,0.2189
avg_steps_per_meter,0.1062
avg_success,0.0
avg_time_to_recover_after_break,24.5
success_rate,0.0
timeout_rate,1.0
