metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,1.0
avg_dynamic_block_entropy,0.788663920131163
avg_dynamic_block_hits,297.0
avg_dynamic_blocks,297.0
avg_episode_steps,1151.0
avg_guardrail_activation_rate,0.05994787141615986
avg_interaction_congestion_risk_corr,0.019618707580179855
avg_interaction_fire_nfz_overlap_ratio,0.025940452874017916
avg_interaction_fire_road_closure_rate,1.0
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,1.3245
avg_path_smoothness,0.7641
avg_planning_time_ms,345.1
avg_relaxation_magnitude,1.7291304347826089
avg_replan_budget_violations,96.0
avg_replans,800.0
avg_risk_exposure_integral,195.8315796008869
avg_risk_exposure_sum,1.2981
avg_steps_per_meter,0.755
avg_success,0.0
avg_time_to_recover_after_break,1.0
plan_budget_violation_rate,1.0
success_rate,0.0
timeout_rate,1.0
