metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,0.9961685823754789
avg_dynamic_block_entropy,0.8271442517984315
avg_dynamic_block_hits,389.0
avg_dynamic_blocks,389.0
avg_episode_steps,1757.0
avg_guardrail_activation_rate,0.038589238845144355
avg_interaction_congestion_risk_corr,0.01972264568382287
avg_interaction_fire_nfz_overlap_ratio,0.08362039473419225
avg_interaction_fire_road_closure_rate,0.9955000000000002
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,483.0
avg_path_optimality,2.7686
avg_path_smoothness,0.7181
avg_planning_time_ms,353.09
avg_relaxation_magnitude,2.1133389917010605
avg_replan_budget_violations,731.0
avg_replans,740.7
avg_risk_exposure_integral,62.329379428662556
avg_risk_exposure_sum,0.4636
avg_steps_per_meter,0.4379
avg_success,0.3333
avg_time_to_recover_after_break,1.0
plan_budget_violation_rate,1.0
success_rate,0.3333333333333333
timeout_rate,0.6666666666666666
