metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,0.9921259842519685
avg_dynamic_block_entropy,0.7584867376372465
avg_dynamic_block_hits,906.0
avg_dynamic_blocks,906.0
avg_episode_steps,2000.0
avg_guardrail_activation_rate,0.0635
avg_interaction_congestion_risk_corr,0.019341187050223134
avg_interaction_fire_nfz_overlap_ratio,0.01681430552898255
avg_interaction_fire_road_closure_rate,0.9985
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,2.168
avg_path_smoothness,0.6213
avg_planning_time_ms,409.92
avg_relaxation_magnitude,0.5146456692913385
avg_replan_budget_violations,1017.0
avg_replans,913.0
avg_risk_exposure_integral,257.6130245747149
avg_risk_exposure_sum,0.025
avg_steps_per_meter,0.4612
avg_success,0.0
avg_time_to_recover_after_break,1.0
plan_budget_violation_rate,1.0
success_rate,0.0
timeout_rate,1.0
