metric,value
avg_building_violation_count,0.0
avg_collision_terminated,1.0
avg_constraint_violation_rate,0.2
avg_constraint_violations,1.0
avg_dynamic_block_entropy,0.5769650703965533
avg_episode_steps,14.0
avg_interaction_congestion_risk_corr,0.027313991603638954
avg_interaction_fire_nfz_overlap_ratio,0.0
avg_interaction_fire_road_closure_rate,1.0
avg_interdiction_hit_rate,0.0
avg_interdiction_hit_rate_reference,0.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,160.0
avg_path_smoothness,1.0
avg_planning_time_ms,510.91
avg_replan_budget_violations,1.0
avg_replans,3.0
avg_risk_exposure_integral,9.54157735847901e-20
avg_risk_exposure_sum,0.0
avg_steps_per_meter,0.0063
avg_success,0.0
collision_rate,1.0
plan_budget_violation_rate,1.0
success_rate,0.0
