metric,value
avg_building_violation_count,0.0
avg_collision_terminated,1.0
avg_constraint_violation_rate,0.2
avg_constraint_violations,1.0
avg_dynamic_block_entropy,0.5559478261195444
avg_episode_steps,22.0
avg_interaction_congestion_risk_corr,0.03512839727871244
avg_interaction_fire_nfz_overlap_ratio,0.0
avg_interaction_fire_road_closure_rate,1.0
avg_interdiction_hit_rate,0.0
avg_interdiction_hit_rate_reference,0.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,160.0
avg_path_smoothness,1.0
avg_planning_time_ms,24.27
avg_replans,8.0
avg_risk_exposure_integral,3.042548031949444e-26
avg_risk_exposure_sum,0.0
avg_steps_per_meter,0.0063
avg_success,0.0
collision_rate,1.0
success_rate,0.0
