metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,1.0
avg_dynamic_block_entropy,0.6895335444380382
avg_dynamic_block_hits,186.0
avg_dynamic_blocks,186.0
avg_episode_steps,2000.0
avg_guardrail_activation_rate,0.158
avg_interaction_congestion_risk_corr,0.025971454639255258
avg_interaction_fire_nfz_overlap_ratio,0.0006167718325171884
avg_interaction_fire_road_closure_rate,0.999
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,22.8571
avg_path_smoothness,0.4848
avg_planning_time_ms,74.98
avg_relaxation_magnitude,1.769525316455696
avg_replan_latency_after_break,0.0
avg_replans,1949.0
avg_risk_exposure_integral,263.14998002661525
avg_risk_exposure_sum,0.0413
avg_steps_per_meter,0.0437
avg_success,0.0
avg_time_to_recover_after_break,3.0
success_rate,0.0
timeout_rate,1.0
