metric,value
avg_building_violation_count,0.0
avg_collision_terminated,1.0
avg_constraint_violation_rate,0.0769
avg_constraint_violations,1.0
avg_corridor_fallback_rate,1.0
avg_dynamic_block_entropy,0.5710620492153121
avg_episode_steps,141.0
avg_guardrail_activation_rate,0.6950354609929078
avg_interaction_congestion_risk_corr,0.0280137788132991
avg_interaction_fire_nfz_overlap_ratio,0.0
avg_interaction_fire_road_closure_rate,1.0
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,61.5385
avg_path_smoothness,0.8182
avg_planning_time_ms,130.95
avg_relaxation_magnitude,0.5251020408163266
avg_replan_latency_after_break,40.3768115942029
avg_replans,105.0
avg_risk_exposure_integral,3.0840374259086554e-05
avg_risk_exposure_sum,0.0
avg_steps_per_meter,0.0163
avg_success,0.0
collision_rate,1.0
success_rate,0.0
