metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.6667
avg_constraint_violation_rate,0.005
avg_constraint_violations,0.6666666666666666
avg_corridor_fallback_rate,1.0
avg_dynamic_block_entropy,0.6664603970329849
avg_episode_steps,1112.0
avg_guardrail_activation_rate,0.6036498148355965
avg_interaction_congestion_risk_corr,0.027791202592304207
avg_interaction_fire_nfz_overlap_ratio,0.00014626050270071485
avg_interaction_fire_road_closure_rate,0.9966716417910447
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,7.2769
avg_path_smoothness,0.4384
avg_planning_time_ms,74.2967
avg_relaxation_magnitude,5.2924420820281615
avg_replan_latency_after_break,7.891975308641975
avg_replans,875.7
avg_risk_exposure_integral,1.9776651549453597e-06
avg_risk_exposure_sum,1.7849
avg_steps_per_meter,0.1454
avg_success,0.0
avg_time_to_recover_after_break,18.666666666666668
collision_rate,0.6666666666666666
success_rate,0.0
timeout_rate,0.3333333333333333
