metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,1.0
avg_dynamic_block_entropy,0.6920192012775432
avg_episode_steps,2000.0
avg_guardrail_activation_rate,0.4095
avg_interaction_congestion_risk_corr,0.025812917912771738
avg_interaction_fire_nfz_overlap_ratio,0.0005501794284772515
avg_interaction_fire_road_closure_rate,1.0
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,1.9512
avg_path_smoothness,0.3039
avg_planning_time_ms,24.04
avg_relaxation_magnitude,0.3063614163614164
avg_replan_budget_violations,3.0
avg_replan_latency_after_break,7.357142857142857
avg_replans,1001.0
avg_risk_exposure_integral,5.310613223385112e-06
avg_risk_exposure_sum,8.249
avg_steps_per_meter,0.5125
avg_success,0.0
avg_time_to_recover_after_break,20.0
success_rate,0.0
timeout_rate,1.0
