metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,1.0
avg_dynamic_block_entropy,0.3524766278838557
avg_dynamic_block_hits,1636.0
avg_dynamic_blocks,1636.0
avg_episode_steps,2000.0
avg_guardrail_activation_rate,0.805
avg_interaction_congestion_risk_corr,0.01997558082931378
avg_interaction_fire_nfz_overlap_ratio,0.07139879623435778
avg_interaction_fire_road_closure_rate,0.999
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,3.9118
avg_path_smoothness,0.63
avg_planning_time_ms,53.76
avg_relaxation_magnitude,4.724149068322982
avg_replan_latency_after_break,0.0
avg_replans,1728.0
avg_risk_exposure_integral,2.6197704069171325e-10
avg_risk_exposure_sum,0.7197
avg_steps_per_meter,0.2556
avg_success,0.0
avg_time_to_recover_after_break,2.0
success_rate,0.0
timeout_rate,1.0
