metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_corridor_fallback_rate,0.00858892880169476
avg_dynamic_block_entropy,0.3091575006310091
avg_dynamic_block_hits,1760.3333333333333
avg_dynamic_blocks,1760.3
avg_episode_steps,2000.0
avg_guardrail_activation_rate,0.06216666666666667
avg_interaction_congestion_risk_corr,0.04170814968936672
avg_interaction_fire_nfz_overlap_ratio,0.0773977712364369
avg_interaction_fire_road_closure_rate,0.8363333333333335
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,4.8172
avg_path_smoothness,0.531
avg_planning_time_ms,52.48
avg_relaxation_magnitude,3.9473051948051947
avg_replan_latency_after_break,12.388888888888891
avg_replans,1861.7
avg_risk_exposure_integral,0.003397311103693976
avg_risk_exposure_sum,0.0321
avg_steps_per_meter,0.208
avg_success,0.0
avg_time_to_recover_after_break,18.5
success_rate,0.0
timeout_rate,1.0
