metric,value
avg_building_violation_count,0.0
avg_collision_terminated,1.0
avg_constraint_violation_rate,0.0057
avg_constraint_violations,1.0
avg_corridor_fallback_rate,1.0
avg_dynamic_block_entropy,0.35738663780556673
avg_dynamic_block_hits,253.0
avg_dynamic_blocks,253.0
avg_episode_steps,704.0
avg_guardrail_activation_rate,0.03409090909090909
avg_interaction_congestion_risk_corr,0.014024461678726773
avg_interaction_fire_nfz_overlap_ratio,0.035686607258759745
avg_interaction_fire_road_closure_rate,0.9204545454545454
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,2.2931
avg_path_smoothness,0.686
avg_planning_time_ms,52.43
avg_relaxation_magnitude,8.448333333333332
avg_replan_latency_after_break,4.714285714285714
avg_replans,268.0
avg_risk_exposure_integral,0.2050630326112636
avg_risk_exposure_sum,0.0
avg_steps_per_meter,0.4361
avg_success,0.0
avg_time_to_recover_after_break,6.5
avg_traffic_blocks,11.0
collision_rate,1.0
success_rate,0.0
