metric,value
avg_building_violation_count,0.0
avg_collision_terminated,0.0
avg_constraint_violation_rate,0.0
avg_constraint_violations,0.0
avg_dynamic_block_entropy,0.42359964582073767
avg_dynamic_block_hits,1815.0
avg_dynamic_blocks,1815.0
avg_episode_steps,2000.0
avg_interaction_congestion_risk_corr,0.03639321965070991
avg_interaction_fire_nfz_overlap_ratio,0.03691104209708558
avg_interaction_fire_road_closure_rate,0.9985
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,1.7973
avg_path_smoothness,0.8773
avg_planning_time_ms,52.42
avg_replan_budget_violations,1.0
avg_replan_latency_after_break,1.5
avg_replans,1872.0
avg_risk_exposure_integral,1.0515479312347619e-12
avg_risk_exposure_sum,0.0
avg_steps_per_meter,0.5564
avg_success,0.0
avg_time_to_recover_after_break,4.0
success_rate,0.0
timeout_rate,1.0
