metric,value
avg_building_violation_count,0.0
avg_collision_terminated,1.0
avg_constraint_violation_rate,0.0061
avg_constraint_violations,1.0
avg_dynamic_block_entropy,0.3275654313539709
avg_episode_steps,478.0
avg_interaction_congestion_risk_corr,0.010494910704461888
avg_interaction_fire_nfz_overlap_ratio,0.019371364312677497
avg_interaction_fire_road_closure_rate,0.9037656903765691
avg_interdiction_hit_rate,1.0
avg_interdiction_hit_rate_reference,1.0
avg_nfz_violation_count,0.0
avg_path_length,nan
avg_path_optimality,2.4329
avg_path_smoothness,0.537
avg_planning_time_ms,107.04
avg_replan_budget_violations,3.0
avg_replan_latency_after_break,2.0
avg_replans,143.0
avg_risk_exposure_integral,1.5316656366165155e-22
avg_risk_exposure_sum,0.0
avg_steps_per_meter,0.411
avg_success,0.0
avg_time_to_recover_after_break,6.0
collision_rate,1.0
success_rate,0.0
